wavelength_nm,intensity
837,0.001250
838,0.001270
839,0.001290
840,0.001350
841,0.001420
842,0.001480
843,0.001570
844,0.001710
845,0.001830
846,0.001910
847,0.002010
848,0.002100
849,0.002220
850,0.002350
851,0.002440
852,0.002530
853,0.002620
854,0.002680
855,0.002750
856,0.002900
857,0.003080
858,0.003220
859,0.003300
860,0.003420
861,0.003540
862,0.003620
863,0.003730
864,0.003870
865,0.003960
866,0.004060
867,0.004160
868,0.004260
869,0.004300
870,0.004410
871,0.004470
872,0.004560
873,0.004650
874,0.004760
875,0.004800
876,0.004820
877,0.004830
878,0.004900
879,0.004950
880,0.005010
881,0.005050
882,0.005140
883,0.005130
884,0.005150
885,0.005170
886,0.005240
887,0.005270
888,0.005310
889,0.005330
890,0.005350
891,0.005390
892,0.005340
893,0.005300
894,0.005360
895,0.005410
896,0.005490
897,0.005510
898,0.005560
899,0.005550
900,0.005530
