wavelength_nm,n,k
154.980234,0.620000,0.200000
177.120268,0.540000,0.420000
206.640312,0.560000,0.630000
247.968375,0.650000,0.880000
309.960469,0.750000,1.020000
413.280625,0.680000,1.420000
619.920937,0.900000,2.200000
